Max features;Max depth;Min samples leaf;Min samples split;Accuracy
log2;60;1;0.00145815964956;0.9943787738196098
log2;100;3;0.000917864309224;0.9943787738196098
sqrt;80;5;0.00235412425852;0.9943518780005648
sqrt;60;5;0.00903059548199;0.9943518780005648
sqrt;30;1;0.0017229318247;0.9943518780005648
log2;50;5;0.000845210914887;0.9943518780005647
sqrt;60;4;0.0122904790591;0.9943384300910424
sqrt;50;3;0.00184530543478;0.9943384300910423
sqrt;80;1;0.0026609927119;0.994298086362475
sqrt;10;1;0.0749386488684;0.9942577426339075
log2;60;3;0.0334457164961;0.9942577426339075
None;50;4;0.00738593639342;0.9942442947243851
sqrt;100;2;0.0146705589415;0.994244294724385
sqrt;40;5;0.00325418516521;0.9942308468148626
log2;30;4;0.00510708531318;0.9942308468148626
log2;70;3;0.0363984644368;0.9942308468148626
sqrt;30;2;0.00170695573305;0.9942308468148626
sqrt;50;1;0.00264463777225;0.9942173989053402
log2;80;1;0.0134352121767;0.9942173989053402
sqrt;70;5;0.0427875675002;0.9942173989053401
log2;60;2;0.0351842523683;0.9942173989053401
sqrt;100;1;0.012350709707;0.9942173989053401
sqrt;20;3;0.00286211125267;0.9942039509958178
log2;None;3;0.00242957640242;0.9942039509958178
sqrt;40;2;0.0413706574494;0.9942039509958178
log2;80;1;0.0243325033652;0.9942039509958177
None;90;5;0.00994136871509;0.9941905030862953
None;30;3;0.0153721788937;0.9941905030862953
None;80;1;0.0211655137198;0.9941905030862953
None;100;4;0.0747497588525;0.9941905030862953
None;80;4;0.0982247808165;0.9941905030862953
None;70;3;0.0673747569187;0.9941905030862953
log2;80;5;0.0141524757141;0.9941905030862953
None;70;4;0.0192257449788;0.9941905030862953
None;None;1;0.013347825314;0.9941905030862953
None;100;5;0.025021658822;0.9941905030862953
None;90;1;0.0630808031964;0.9941905030862953
sqrt;60;5;0.057799056176;0.9941905030862953
None;50;4;0.0094809332594;0.9941905030862953
None;None;5;0.0103742933129;0.9941905030862953
None;None;1;0.0508710438887;0.9941905030862953
None;10;5;0.0103845265989;0.9941905030862953
None;60;5;0.0430827796569;0.9941905030862953
None;70;2;0.0202272343429;0.9941905030862953
None;50;4;0.0755840539635;0.9941905030862953
log2;70;4;0.0896934357148;0.9941905030862953
None;70;2;0.0440244732581;0.9941905030862953
None;10;5;0.0227959187486;0.9941905030862953
None;20;2;0.0270695095048;0.9941905030862953
None;50;5;0.0134790024416;0.9941905030862953
None;20;5;0.0748799564781;0.9941905030862953
None;100;2;0.0420226470494;0.9941905030862953
None;80;3;0.0481928476062;0.9941905030862953
log2;60;3;0.0166296444653;0.9941770551767729
None;None;3;0.00929466631544;0.9941770551767727
log2;90;4;0.0360282770984;0.9941770551767727
sqrt;90;2;0.0239429119934;0.9941770551767727
sqrt;10;3;0.0064984307916;0.9941770551767727
None;50;1;0.0133854582823;0.9941770551767727
sqrt;30;1;0.0671653780395;0.9941770551767727
sqrt;40;2;0.0892573731634;0.9941770551767727
log2;80;2;0.0460420408846;0.9941636072672503
sqrt;70;1;0.00595309394157;0.9941636072672503
sqrt;10;2;0.00436812351624;0.9941636072672503
sqrt;100;4;0.0040774830006;0.9941636072672503
log2;100;4;0.00716027020336;0.9941636072672503
sqrt;10;4;0.00743573423162;0.9941636072672503
sqrt;70;5;0.00287395444424;0.9941636072672503
sqrt;20;4;0.0494336173811;0.9941501593577279
sqrt;20;1;0.0947715975974;0.9941501593577279
sqrt;80;1;0.0676304480848;0.9941501593577278
None;30;2;0.0117288712659;0.9941501593577278
None;90;5;0.00760681067647;0.9941367114482054
sqrt;50;1;0.085432347067;0.9941367114482054
sqrt;10;4;0.0716609624376;0.9941367114482054
sqrt;20;1;0.0834574590087;0.9941367114482054
log2;80;4;0.00818719211618;0.994123263538683
sqrt;20;3;0.0311695402239;0.9941098156291605
sqrt;70;5;0.0192118762644;0.994096367719638
sqrt;70;2;0.00648802440247;0.994096367719638
sqrt;80;1;0.0434040961346;0.994096367719638
log2;20;2;0.0302766678229;0.994096367719638
log2;30;1;0.0194421307692;0.994096367719638
None;100;1;0.00749123911932;0.994096367719638
sqrt;100;2;0.0166227043651;0.994096367719638
log2;20;5;0.0376609574772;0.994096367719638
log2;None;5;0.0135930398848;0.9940829198101154
log2;40;2;0.0355903865276;0.9940829198101154
log2;10;4;0.0579184026873;0.9940829198101154
log2;None;1;0.00123238637839;0.9940829198101154
log2;20;4;0.00392328266586;0.9940829198101154
None;70;1;0.00749130856502;0.994069471900593
