Learning rate;Beta;Layers;dropout;F-mesure
0.154789505459;0.0263934979418;[59, 49, 35];0.7;0.3398739695549011
0.509943145075;0.0043345921045;[8, 8];0.6;0.3337928831577301
0.371315705552;0.18751302137;[81, 66, 42];0.8;0.3328320741653442
0.648065943573;0.0135196118025;[127, 52, 6];0.9;0.3237986385822296
0.10820588393;0.0354300965814;[97, 36];0.8;0.3237463
0.0427675220493;0.129537698775;[83, 70, 62];1.0;0.3183861017227173
0.439124279746;0.00399409113655;[30, 10, 6];0.6;0.31687674
0.0144248270958;0.509596692803;[56, 48];0.8;0.31361073
0.0112516663598;0.938750423498;[93, 61];0.7;0.3096939265727997
0.0674253472837;0.235624912037;[125, 67];0.6;0.30890684127807616
0.0718133780719;0.0724776450276;[14, 8, 8];0.7;0.3084862887859344
0.406019093393;0.00483113052772;[32, 30, 22];0.8;0.30465652942657473
0.137522507408;0.0147397258667;[47, 29, 7];1.0;0.3019757211208344
0.209063779988;0.00354055103243;[78, 13, 9];0.9;0.28902152
0.239560002403;0.00649833992335;[61, 11];0.9;0.2860276520252228
0.044773502959;0.0760652692001;[45, 23, 13];0.6;0.28352118
0.0731523271925;0.246716366123;[77, 20, 19];0.9;0.2782514402642846
0.0193488911896;0.314158188557;[113, 63];0.7;0.2766413
0.609075896574;0.0159234554764;[41, 16];0.7;0.27198592
0.110807175006;0.018269061101;[121, 11, 4];0.9;0.264110392332077
0.767824619062;0.0122867946607;[90, 75, 64];1.0;0.2632975824177265
0.100967322874;0.035230832248;[86, 60];0.5;0.26201136112213136
0.109752928585;0.00764679466017;[30, 10, 10];1.0;0.2611119
0.946410574231;0.0251571253783;[26, 12];1.0;0.2597122058272362
0.139056617627;0.0122681097164;[102, 18, 11];0.8;0.259269792586565
0.216488351547;0.00674580210761;[131, 6, 6];0.9;0.2588420229032636
0.138192451559;0.242271495135;[111, 11, 10];0.8;0.25441971626132726
0.0226506898565;0.352634636781;[81, 58, 27];0.7;0.2529411852359772
0.134676191159;0.0071757213597;[7, 5, 4];0.5;0.24768952429294586
0.106201864328;0.104726943834;[13, 5, 5];0.6;0.2440000057220459
0.418496608053;0.00558709053302;[103, 27];0.9;0.24344651
0.329318181333;0.180902118976;[131, 105];1.0;0.23889590110629796
0.538424069553;0.0077603388238;[76, 26, 22];1.0;0.23460276
0.0225842206524;0.234890733163;[39, 21];0.9;0.22936285
0.138601743215;0.00694586123022;[112, 91, 26];0.8;0.22927865
0.129176038982;0.0104794711462;[4, 4];0.6;0.22527845
0.288144095984;0.00554541032419;[68, 65];0.5;0.22013343311846256
0.0177954144195;0.158400364436;[32, 32];1.0;0.21772556
0.166276750529;0.0072395669405;[28, 19, 16];0.5;0.21749552
0.110400406179;0.329985865265;[25, 23];1.0;0.20933243837207555
0.245060274446;0.0125379616603;[57, 49];1.0;0.20895138
0.0879358981782;0.231275036223;[28, 26, 12];0.9;0.2086823
0.6590137691;0.00452173999322;[103, 96, 88];0.6;0.19861234724521637
0.0718935709102;0.126571744754;[39, 6, 6];0.6;0.1972850739955902
0.0266029440744;0.159140402919;[109, 87, 25];0.9;0.18972865
0.139013621013;0.289681145163;[133, 34];0.7;0.18905002
0.629847886172;0.00320855796578;[136, 45, 45];0.7;0.18365047881379723
0.211418348292;0.00337759142262;[22, 8];1.0;0.16822493597865104
0.053008145228;0.0157370130692;[126, 38];0.9;0.16199782
0.00873386036848;0.39190929123;[89, 23, 16];1.0;0.1598469
0.0181700518181;0.222900894247;[15, 5, 5];0.8;0.15906242
0.132825859197;0.00414212141724;[6, 5];1.0;0.15755917
0.124929068116;0.343806802354;[48, 19, 16];0.6;0.15095381
0.739975691385;0.0676801603648;[100, 9, 9];0.5;0.14949496388435363
0.612004294051;0.0328047331243;[124, 53, 10];0.8;0.14949496388435363
0.0319024724838;0.10243139128;[126, 29, 25];0.9;0.14818779
0.530491490672;0.00358013644022;[139, 86, 72];0.9;0.13753703
0.0367707623646;0.0358979400415;[14, 13, 11];0.9;0.1361701801419258
0.102087301549;0.00826639140898;[131, 33];1.0;0.13314238
0.410230793298;0.275097094173;[117, 54, 26];0.9;0.13262323029339312
0.702830409769;0.11389360312;[7, 6];0.6;0.13257147
0.04231656964;0.00619934035052;[5, 5, 4];0.9;0.12724437844008207
0.0271553296834;0.0908034217184;[10, 9, 6];0.6;0.12711364
0.115470268596;0.00377835921176;[44, 20, 14];1.0;0.12580606
0.264003468918;0.00594992013683;[28, 18, 7];1.0;0.12559559494256972
