Learning rate;Beta;Gamma;Dense sizes;MCC
0.489491407507;0.106840884957;9;[86, 26];0.5356321716562893
0.059115042577;0.458392966235;6;[87, 62, 45];0.5345702890422643
0.0251073815903;0.00509358095843;4;[98, 31, 9];0.5340925009716214
0.130265581034;0.00484430982837;6;[41];0.5331483132870335
0.130511154335;0.0613813769933;10;[5, 4, 4];0.533090650736257
0.026811479055;0.0159103871199;9;[69, 56];0.5328233343540272
0.193737757987;0.0577774753019;6;[28, 7];0.532279435825215
0.249560854027;0.135060117282;10;[6, 6];0.5318763716038466
0.079301535445;0.766970737285;9;[85, 55];0.5311250047157313
0.218433192028;0.385571760271;7;[22, 13];0.5307593658833636
0.469397010805;0.00696869684514;9;[18];0.5287779861689464
0.0335044457411;0.377886947248;7;[61, 29, 11];0.5286918296017837
0.0149751112345;0.0938587859608;5;[81, 74];0.528080866440482
0.468346237771;0.0135200248406;5;[15];0.5279808026864097
0.265966142799;0.388454865571;8;[18, 12];0.5266208417960656
0.100734664878;0.00562585475812;7;[100, 11, 7];0.5262630522613964
0.0467910479423;0.169986115998;8;[52, 44];0.5248330633835251
0.0511165905115;0.0114189851414;9;[57];0.5248098208670468
0.379437396075;0.0126286263531;4;[27, 11, 9];0.5241512571841526
0.289274372657;0.019403774204;8;[61, 61];0.5239116583875375
0.0722076546853;0.808097720259;10;[35, 30, 30];0.5233887979211204
0.0668813480689;0.0706215750873;6;[36, 4];0.5230134769018083
0.168800668461;0.349687094935;6;[64, 14];0.5228266458249491
0.456140732825;0.0106547356564;4;[32];0.5227661245062638
0.464380570485;0.0556429631193;10;[73, 71, 51];0.522132136091599
0.0306552164648;0.00443762905935;6;[61, 61];0.5218224944000535
0.114072608259;0.0687543950601;5;[87];0.5204651456079815
0.189757273044;0.00914991111188;3;[65];0.5203989199245499
0.0693216403343;0.187931064035;7;[22];0.5197377120712593
0.0332190591743;0.0113451536978;10;[64, 62];0.5197377120712593
0.153737476325;0.0890884464627;3;[17, 14];0.5195549545126369
0.0357289434175;0.255936741288;6;[79, 19];0.5187358677676946
0.0261098708512;0.0098170382062;7;[92];0.5177053137293269
0.0451145586108;0.0136543772268;5;[34];0.5158406400462501
0.0127723229172;0.0270216941597;6;[83, 58];0.51511126601505
0.198158761052;0.302367811477;4;[70, 25];0.5139497438791163
0.140905925032;0.148259565902;10;[58, 15, 15];0.5139306969442731
0.147869618538;0.154694931047;9;[18];0.5138476384609012
0.182464580077;0.0585747385958;8;[57, 55];0.5138255496225753
0.0270188165598;0.02326540507;9;[74];0.5128994793708669
0.0429988216334;0.531355426662;10;[9];0.5128994793708669
0.215453544945;0.312907740083;4;[41, 29];0.5128994793708669
0.148135458939;0.18561711362;4;[80, 52, 18];0.5116451318537687
0.159130773945;0.636018155338;10;[17];0.5116451318537687
0.0978967184534;0.184236462438;3;[76, 52];0.5112621732010925
