NORM_NAME;NAME
android.telephony.SmsCbCmasInfo.newArray(int);SmsCbCmasInfo.newArray(int)
android.telephony.gsm.SmsManager.getDefault();SmsManager.getDefault()
android.telephony.gsm.SmsManager.sendTextMessage(pendingintent, pendingintent, string, string, string);SmsManager.sendTextMessage(String, String, String, PendingIntent, PendingIntent)
android.telephony.gsm.SmsManager.divideMessage(string);SmsManager.divideMessage(String)
android.telephony.gsm.SmsManager.sendMultipartTextMessage(arraylist, arraylist, arraylist, string, string);SmsManager.sendMultipartTextMessage(String, String, ArrayList, ArrayList, ArrayList)
android.telephony.gsm.SmsManager.sendDataMessage(byte, pendingintent, pendingintent, short, string, string);SmsManager.sendDataMessage(String, String, short, byte, PendingIntent, PendingIntent)
android.telephony.gsm.SmsManager.copyMessageToSim(byte, byte, int);SmsManager.copyMessageToSim(byte, byte, int)
android.telephony.gsm.SmsManager.deleteMessageFromSim(int);SmsManager.deleteMessageFromSim(int)
android.telephony.gsm.SmsManager.updateMessageOnSim(byte, int, int);SmsManager.updateMessageOnSim(int, int, byte)
android.telephony.gsm.SmsManager.getAllMessagesFromSim();SmsManager.getAllMessagesFromSim()
android.telephony.gsm.SmsMessage.toString();SmsMessage.toString()
android.telephony.gsm.SmsMessage.createFromPdu(byte);SmsMessage.createFromPdu(byte)
android.telephony.gsm.SmsMessage.getTPLayerLengthForPDU(string);SmsMessage.getTPLayerLengthForPDU(String)
android.telephony.gsm.SmsMessage.calculateLength(boolean, charsequence);SmsMessage.calculateLength(CharSequence, boolean)
android.telephony.gsm.SmsMessage.calculateLength(boolean, string);SmsMessage.calculateLength(String, boolean)
android.telephony.gsm.SmsMessage.getSubmitPdu(boolean, byte, string, string, string);SmsMessage.getSubmitPdu(String, String, String, boolean, byte)
android.telephony.gsm.SmsMessage.getSubmitPdu(boolean, string, string, string);SmsMessage.getSubmitPdu(String, String, String, boolean)
android.telephony.gsm.SmsMessage.getSubmitPdu(boolean, byte, short, string, string);SmsMessage.getSubmitPdu(String, String, short, byte, boolean)
android.telephony.gsm.SmsMessage.getServiceCenterAddress();SmsMessage.getServiceCenterAddress()
android.telephony.gsm.SmsMessage.getOriginatingAddress();SmsMessage.getOriginatingAddress()
android.telephony.gsm.SmsMessage.getDisplayOriginatingAddress();SmsMessage.getDisplayOriginatingAddress()
android.telephony.gsm.SmsMessage.getMessageBody();SmsMessage.getMessageBody()
android.telephony.gsm.SmsMessage.getMessageClass();SmsMessage.getMessageClass()
android.telephony.gsm.SmsMessage.getDisplayMessageBody();SmsMessage.getDisplayMessageBody()
android.telephony.gsm.SmsMessage.getPseudoSubject();SmsMessage.getPseudoSubject()
android.telephony.gsm.SmsMessage.getTimestampMillis();SmsMessage.getTimestampMillis()
android.telephony.gsm.SmsMessage.isEmail();SmsMessage.isEmail()
android.telephony.gsm.SmsMessage.getEmailBody();SmsMessage.getEmailBody()
android.telephony.gsm.SmsMessage.getEmailFrom();SmsMessage.getEmailFrom()
android.telephony.gsm.SmsMessage.getProtocolIdentifier();SmsMessage.getProtocolIdentifier()
android.telephony.gsm.SmsMessage.isReplace();SmsMessage.isReplace()
android.telephony.gsm.SmsMessage.isCphsMwiMessage();SmsMessage.isCphsMwiMessage()
android.telephony.gsm.SmsMessage.isMWIClearMessage();SmsMessage.isMWIClearMessage()
android.telephony.gsm.SmsMessage.isMWISetMessage();SmsMessage.isMWISetMessage()
android.telephony.gsm.SmsMessage.isMwiDontStore();SmsMessage.isMwiDontStore()
android.telephony.gsm.SmsMessage.getUserData();SmsMessage.getUserData()
android.telephony.gsm.SmsMessage.getPdu();SmsMessage.getPdu()
android.telephony.gsm.SmsMessage.getStatusOnSim();SmsMessage.getStatusOnSim()
android.telephony.gsm.SmsMessage.getStatusOnIcc();SmsMessage.getStatusOnIcc()
android.telephony.gsm.SmsMessage.getIndexOnSim();SmsMessage.getIndexOnSim()
android.telephony.gsm.SmsMessage.getIndexOnIcc();SmsMessage.getIndexOnIcc()
android.telephony.gsm.SmsMessage.getStatus();SmsMessage.getStatus()
android.telephony.gsm.SmsMessage.isStatusReportMessage();SmsMessage.isStatusReportMessage()
android.telephony.gsm.SmsMessage.isReplyPathPresent();SmsMessage.isReplyPathPresent()
android.telephony.gsm.SmsMessage.getSmsFacility();SmsMessage.getSmsFacility()
com.android.internal.telephony.IccPhoneBookInterfaceManager.handleMessage(message);IccPhoneBookInterfaceManager.handleMessage(Message)
com.android.internal.telephony.IccPhoneBookInterfaceManager.notifyPending(asyncresult);IccPhoneBookInterfaceManager.notifyPending(AsyncResult)
com.android.internal.telephony.IccPhoneBookInterfaceManager.dispose();IccPhoneBookInterfaceManager.dispose()
com.android.internal.telephony.IccPhoneBookInterfaceManager.updateIccRecords(iccrecords);IccPhoneBookInterfaceManager.updateIccRecords(IccRecords)
com.android.internal.telephony.IccPhoneBookInterfaceManager.publish();IccPhoneBookInterfaceManager.publish()
com.android.internal.telephony.IccPhoneBookInterfaceManager.logd(string);IccPhoneBookInterfaceManager.logd(String)
com.android.internal.telephony.IccPhoneBookInterfaceManager.loge(string);IccPhoneBookInterfaceManager.loge(String)
