CommitNumber;Entity;Method;Change
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setProtected(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setPackage(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setPrivate(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setOld(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setVerbose(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setVersion(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setUse(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setAuthor(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setSplitindex(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setNodeprecated(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setNodeprecatedlist(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setNotree(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setNoindex(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setNohelp(String);MODIFIED
15a5e7c7b3959ac537ee601d791ae965de15e841;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setNonavbar(String);MODIFIED
436d769ea99658ae6769abf72804b96b0391b9a6;METHOD;org.apache.tools.ant.taskdefs.Exec.execute();MODIFIED
436d769ea99658ae6769abf72804b96b0391b9a6;METHOD;org.apache.tools.ant.taskdefs.Exec.run(String);MODIFIED
13402c5c701e2726828963bb7ceec35db1cae7c8;METHOD;org.apache.tools.ant.Project.createTask(String);MODIFIED
c82e5e539023f6f5b409df9e71ecc22cc9288cbb;METHOD;org.apache.tools.ant.taskdefs.Exec.execute();MODIFIED
c82e5e539023f6f5b409df9e71ecc22cc9288cbb;METHOD;org.apache.tools.ant.taskdefs.Exec.run(String);MODIFIED
2ac6f34fb0ad532a40921f77d161939fe9b0d45b;METHOD;org.apache.tools.ant.taskdefs.Cvs.execute();MODIFIED
2ac6f34fb0ad532a40921f77d161939fe9b0d45b;METHOD;org.apache.tools.ant.taskdefs.Cvs.setDest(String);MODIFIED
94406b7f4e1294fa17f87016dfcfccd676f2b92e;METHOD;org.apache.tools.ant.taskdefs.Javadoc.execute();MODIFIED
d266616328d73bcc0cbac2211049a474404065e2;METHOD;org.apache.tools.ant.taskdefs.Exec.run(String);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Copydir.execute();MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Copydir.setIgnore(String);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Jar.initZipOutputStream(ZipOutputStream);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Jar.zipDir(File,ZipOutputStream,String);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Javac.execute();MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Zip.setItems(String);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Zip.setIgnore(String);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Zip.execute();MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Zip.initZipOutputStream(ZipOutputStream);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Zip.zipDir(File,ZipOutputStream,String);MODIFIED
28a5d4e224ee03bafcd11a4196a9ed9aa2412f85;METHOD;org.apache.tools.ant.taskdefs.Zip.zipFile(InputStream,ZipOutputStream,String);MODIFIED
a434a10a3024a7fcc5d7d12be2e0e14f4871a194;METHOD;org.apache.tools.ant.taskdefs.Exec.run(String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Copydir.setSrc(String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Copydir.setDest(String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Copydir.execute();MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Copydir.scanDir(File,File,String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Java.execute();MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Javac.setDebug(String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Javac.setOptimize(String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Javac.execute();MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Jikes.compile(String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Jikes.Jikes(JikesOutputParser,String);MODIFIED
29e058c93dd6bf6c41fd0d49c6e235888efd7cc8;METHOD;org.apache.tools.ant.taskdefs.Zip.execute();MODIFIED
dea859a3d2cb84f7402300f9da50db188d25892f;METHOD;org.apache.tools.ant.taskdefs.Property.loadResource(String);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Project.setUserProperty(String,String);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Project.getProperty(String);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.ProjectHelper.configureProject(Project,File);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.ProjectHelper.init(Project,Element);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.ProjectHelper.configureTargets(Project,Element);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.ProjectHelper.replaceProperties(String,Hashtable);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.getProject();MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.setAttribute(String,Object);MODIFIED
67a4d8573765aa9d10afe162b60d26c62b7ac169;METHOD;org.apache.tools.ant.Target.setName(String);MODIFIED
