Max features;Max depth;Min samples leaf;Min samples split;Accuracy
log2;60;1;0.000199629123419;0.980168366520965
log2;40;5;0.000230943480719;0.9800874210781934
sqrt;20;4;0.00364240373953;0.9800874210781932
sqrt;80;5;0.000128364382605;0.9800874210781932
log2;70;4;0.00301786048192;0.9800874210781932
log2;10;5;0.00195342588252;0.9800874210781932
log2;20;2;0.00093644067692;0.9800064756354218
log2;10;1;0.00174132449871;0.9800064756354218
sqrt;None;3;0.000989497069086;0.9800064756354218
log2;70;4;0.0067555193542;0.97992553019265
sqrt;None;3;0.000201069585568;0.97992553019265
log2;80;4;0.000962150505958;0.97992553019265
sqrt;20;1;0.000557327776927;0.97992553019265
sqrt;None;4;0.000963650154495;0.97992553019265
log2;10;4;0.000853557929382;0.97992553019265
log2;70;1;0.000865524390661;0.9798445847498787
log2;100;5;0.000211348976391;0.9798445847498787
sqrt;10;5;0.00402597132371;0.9798445847498787
log2;10;5;0.00851822511293;0.979763639307107
None;70;3;0.000391155167098;0.979763639307107
log2;50;5;0.00197516428022;0.979763639307107
sqrt;70;3;0.0126823090505;0.979763639307107
log2;60;4;0.000241934123201;0.9796826938643354
log2;50;3;0.00191784152559;0.9796017484215639
log2;10;3;0.000296654845328;0.9795208029787923
sqrt;60;2;0.000131378071291;0.9795208029787923
sqrt;90;2;0.000100773684052;0.9795208029787923
sqrt;30;3;0.000518450907547;0.9795208029787923
sqrt;50;5;0.000172692608062;0.9795208029787923
sqrt;80;3;0.000206585206937;0.9795208029787923
log2;100;1;0.0127352840494;0.9794398575360207
sqrt;100;1;0.000583652398569;0.9793589120932492
log2;80;4;0.00679824420551;0.979358912093249
sqrt;20;4;0.000739163126924;0.9792779666504776
sqrt;100;2;0.000302022917513;0.9792779666504776
log2;20;3;0.0204308853449;0.9792779666504775
log2;100;5;0.000144417798887;0.9792779666504775
log2;40;2;0.0138073419287;0.979197021207706
log2;10;3;0.000784286212958;0.979197021207706
log2;50;5;0.000334276099953;0.9791970212077059
sqrt;70;3;0.000833271858605;0.9791970212077059
log2;90;4;0.000149977555145;0.9791160757649345
sqrt;None;1;0.000134717894197;0.9791160757649345
sqrt;90;3;0.00108301255691;0.9791160757649345
sqrt;100;1;0.00269740976048;0.9790351303221629
log2;70;1;0.00690194432204;0.9790351303221628
sqrt;60;4;0.0256065574876;0.9789541848793913
log2;70;1;0.00189041502781;0.9788732394366196
log2;30;5;0.0056836922195;0.9788732394366196
log2;30;1;0.00309650325972;0.9788732394366196
log2;50;5;0.000350649301194;0.9788732394366196
log2;None;2;0.0136186608352;0.9787922939938483
log2;70;1;0.000122510251487;0.9787922939938482
log2;40;4;0.000883867266893;0.9787113485510766
sqrt;80;2;0.0126288029883;0.9787113485510766
log2;10;2;0.0114338417655;0.9787113485510766
log2;10;4;0.027243546174;0.978630403108305
log2;50;5;0.00734655182421;0.978630403108305
sqrt;70;5;0.00566996354019;0.9785494576655335
log2;50;5;0.000386325249918;0.9785494576655335
sqrt;100;3;0.000119152888558;0.9785494576655335
sqrt;50;1;0.000137609607022;0.9785494576655335
log2;10;5;0.000291414008781;0.9784685122227619
sqrt;90;4;0.000333754998951;0.9784685122227618
log2;100;4;0.000233865032666;0.9784685122227618
sqrt;90;3;0.00148235160513;0.9783875667799903
log2;70;4;0.0122670050126;0.9783875667799903
sqrt;20;1;0.000121538361305;0.9783875667799903
log2;90;4;0.00369832607473;0.9783066213372186
sqrt;10;5;0.00102075364428;0.9782256758944472
sqrt;60;1;0.0246882443652;0.9782256758944472
sqrt;40;4;0.000405935030517;0.9782256758944472
sqrt;10;1;0.0232606175871;0.9781447304516755
log2;100;1;0.000515481001097;0.9779828395661324
sqrt;60;2;0.0275996564928;0.9779828395661324
log2;60;2;0.0921334630974;0.9779018941233608
log2;70;5;0.0486282380714;0.9778209486805892
log2;70;2;0.0301003033828;0.9778209486805892
sqrt;50;1;0.0042293515282;0.9778209486805892
sqrt;100;3;0.0824230459687;0.9777400032378177
sqrt;60;5;0.0384146999885;0.9777400032378177
log2;None;1;0.0612055518291;0.9777400032378177
None;100;2;0.0443552896895;0.9776590577950461
None;20;4;0.0466954864366;0.9776590577950461
sqrt;60;4;0.0909105955163;0.9776590577950461
log2;40;4;0.0447271499169;0.9776590577950461
log2;None;4;0.0221260116728;0.9775781123522745
sqrt;80;4;0.0581462565884;0.9775781123522745
sqrt;60;2;0.066239457648;0.9775781123522745
None;100;3;0.053538330337;0.9774971669095031
