Max features;Max depth;Min samples leaf;Min samples split;Accuracy
log2;50;1;0.000134352651712;0.9798135317765803
log2;10;1;0.000253615992167;0.9797279958942777
sqrt;80;3;0.00368129855971;0.9797279958942777
log2;50;3;0.000136644360545;0.9797279958942776
log2;30;2;0.00538483086981;0.9797279958942776
sqrt;100;2;0.00881088047965;0.979642460011975
sqrt;10;1;0.00132419300653;0.979642460011975
log2;100;5;0.000366919562371;0.9794713882473699
log2;80;4;0.00659812348437;0.9793858523650671
log2;None;3;0.00364057716037;0.9793858523650671
sqrt;None;3;0.000139918150686;0.9793003164827646
log2;50;3;0.00241851492015;0.979214780600462
log2;90;4;0.00114635158973;0.9792147806004619
log2;80;1;0.019772629687;0.9792147806004619
sqrt;50;3;0.000318738726558;0.9792147806004619
log2;70;1;0.00082936612491;0.9791292447181593
log2;80;4;0.00420307443792;0.9790437088358567
log2;10;4;0.0055776386649;0.9790437088358567
log2;40;3;0.00171127564065;0.9790437088358566
log2;50;1;0.00262924457578;0.978958172953554
log2;20;3;0.000128656656907;0.978958172953554
sqrt;10;3;0.00187279296557;0.978958172953554
log2;20;5;0.00039114427421;0.978958172953554
log2;20;5;0.00467107881667;0.9788726370712514
sqrt;70;1;0.00882161014244;0.9788726370712514
log2;90;5;0.000101875264204;0.9788726370712514
log2;50;2;0.00201871677502;0.9788726370712514
log2;80;5;0.00261819918615;0.9788726370712514
log2;30;2;0.00595886814934;0.9787871011889488
log2;10;1;0.00109366029396;0.9787871011889487
sqrt;100;5;0.0013246056571;0.9787871011889487
None;80;2;0.0311530271287;0.9787871011889487
log2;90;1;0.000112328627885;0.9787871011889487
sqrt;40;2;0.00378461604465;0.9787015653066461
log2;50;1;0.0112169274515;0.9787015653066461
log2;50;1;0.0049986750608;0.9786160294243436
sqrt;60;5;0.00102271287226;0.9786160294243436
log2;30;3;0.000278954110191;0.9786160294243436
sqrt;100;5;0.0149713654487;0.9786160294243436
sqrt;20;1;0.000342742788909;0.9786160294243436
log2;50;5;0.000173956770691;0.9785304935420408
sqrt;70;5;0.000116942261831;0.9785304935420408
sqrt;50;1;0.0171944181456;0.9785304935420408
sqrt;90;2;0.000845923730912;0.9785304935420408
log2;70;4;0.000155212231165;0.9784449576597383
sqrt;20;1;0.000468538792468;0.9784449576597383
log2;70;2;0.00903805132732;0.9784449576597383
sqrt;90;5;0.000135127883965;0.9784449576597383
sqrt;100;5;0.000320988636892;0.9784449576597383
sqrt;80;2;0.0247196190023;0.9784449576597383
log2;80;5;0.00915666365919;0.9784449576597382
log2;None;5;0.00061310679101;0.978273885895133
sqrt;100;2;0.00317716510581;0.978273885895133
sqrt;70;1;0.0114511045688;0.978273885895133
sqrt;40;3;0.0213245052228;0.9781883500128304
sqrt;20;2;0.0267252107908;0.9781028141305277
sqrt;None;3;0.00115905676885;0.9780172782482252
None;80;5;0.031393646283;0.9780172782482252
log2;90;1;0.000915591038228;0.9780172782482252
sqrt;30;4;0.00341763859524;0.9778462064836199
sqrt;50;3;0.0350102190044;0.9778462064836199
sqrt;40;5;0.000266412355646;0.9778462064836199
