Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;10;1;0.00024143107494;0.9853379152348225
None;100;1;0.000634844046948;0.9851851851851853
None;100;2;0.0135784488825;0.9851088201603666
None;None;5;0.0173359809619;0.9850324551355479
None;80;2;0.000106206556001;0.9849560901107294
sqrt;30;3;0.00365884563406;0.9848797250859107
None;100;2;0.0191180959167;0.9847269950362735
log2;60;2;0.00819663750554;0.9846506300114548
sqrt;100;3;0.000147902097399;0.984192439862543
None;None;1;0.000508412989533;0.9841160748377243
None;30;1;0.000201058081321;0.9840397098129058
sqrt;100;4;0.00432798424702;0.9838869797632684
log2;80;4;0.00136719526055;0.9838106147384499
sqrt;70;1;0.0045428069135;0.9837342497136312
None;70;4;0.0155324783517;0.9837342497136312
log2;None;3;0.00505941314324;0.9837342497136312
log2;30;4;0.00546477986441;0.9837342497136312
None;20;1;0.000181826032877;0.9837342497136311
log2;20;4;0.00156313226095;0.983581519663994
sqrt;20;4;0.00515531573002;0.983581519663994
sqrt;50;1;0.00431887558416;0.9835051546391753
log2;80;1;0.0035684895695;0.9835051546391753
log2;60;2;0.000795790274598;0.9834287896143566
sqrt;100;3;0.00309726949422;0.9834287896143566
log2;30;5;0.000289489984659;0.9833524245895381
sqrt;30;2;0.000275786075709;0.9833524245895381
log2;20;3;0.000309596571975;0.9833524245895381
log2;100;4;0.0125146387159;0.9831996945399007
sqrt;50;2;0.00204506478111;0.9831233295150822
log2;70;4;0.00554868725242;0.9831233295150822
sqrt;70;3;0.00107610443314;0.983123329515082
log2;100;4;0.000102392742171;0.983123329515082
sqrt;100;1;0.00139379874836;0.9830469644902635
log2;90;2;0.00671670339264;0.9830469644902635
sqrt;100;4;0.00193825689831;0.9830469644902634
log2;50;3;0.00894002393372;0.9829705994654447
sqrt;90;3;0.000764763331751;0.9828942344406263
sqrt;40;4;0.000117807153551;0.9828942344406263
sqrt;None;4;0.00336453078942;0.9828942344406263
log2;30;4;0.00018541654182;0.9828942344406263
sqrt;90;3;0.00191702826845;0.9828942344406261
sqrt;50;3;0.000409363749416;0.9828942344406261
sqrt;80;3;0.00257963107672;0.9828178694158076
log2;30;3;0.0021864541372;0.9828178694158075
sqrt;20;4;0.000496102543328;0.9826651393661704
log2;100;5;0.00922534136435;0.9826651393661702
sqrt;10;3;0.00343347174876;0.9826651393661702
sqrt;100;5;0.000122964105272;0.9826651393661702
log2;90;2;0.00692285649987;0.9826651393661702
sqrt;40;2;0.000253950018172;0.9825887743413516
sqrt;90;5;0.00036212642883;0.9825887743413516
sqrt;40;3;0.00247461733562;0.982512409316533
log2;60;1;0.00876838823563;0.982512409316533
sqrt;30;3;0.00359047498883;0.9825124093165329
sqrt;None;3;0.000996003946188;0.9824360442917145
log2;80;2;0.00448034841521;0.9824360442917143
sqrt;60;2;0.00181685339184;0.9824360442917143
sqrt;90;2;0.00119747723896;0.9823596792668957
sqrt;30;1;0.000350813579183;0.9823596792668957
log2;None;4;0.0109463628298;0.9823596792668957
sqrt;70;4;0.00523797381755;0.982283314242077
log2;50;4;0.00747412334413;0.9822069492172584
sqrt;30;1;0.00115501359016;0.9822069492172584
sqrt;100;4;0.00879332430269;0.9821305841924398
log2;None;5;0.0020929462703;0.9821305841924398
log2;50;3;0.000971658058025;0.9820542191676211
sqrt;70;5;0.000451327859248;0.9820542191676211
log2;20;1;0.00129692621829;0.9819014891179839
log2;None;3;0.000940618778787;0.9819014891179839
sqrt;70;2;0.00986122484124;0.9819014891179839
sqrt;10;4;0.000276331142144;0.9819014891179839
log2;60;5;0.0153085107087;0.9818251240931652
sqrt;10;2;0.0104443876852;0.9817487590683466
sqrt;50;5;0.00942891987448;0.981672394043528
sqrt;60;3;0.00299413075267;0.981672394043528
sqrt;30;1;0.00176931594489;0.9815960290187095
sqrt;80;2;0.0120972215562;0.9815960290187095
sqrt;40;1;0.000249863921226;0.9815960290187093
log2;100;4;0.00217534794324;0.9815960290187093
sqrt;70;3;0.000729399464431;0.9815960290187093
log2;30;2;0.0220974317082;0.9815196639938909
log2;50;1;0.000101652040418;0.9814432989690721
log2;None;2;0.00743483476076;0.9814432989690721
log2;50;2;0.000140386793808;0.9814432989690721
log2;50;4;0.00031707107709;0.9813669339442535
log2;None;5;0.000327281836555;0.9812905689194348
sqrt;30;5;0.0154938015808;0.9812905689194348
log2;30;4;0.00820196404855;0.9812905689194348
log2;30;3;0.000328135488074;0.9811378388697976
log2;50;3;0.00558350444226;0.9811378388697976
log2;None;5;0.00980759057106;0.9810614738449789
