Max features;Max depth;Min samples leaf;Min samples split;MCC
None;50;1;0.00126580993553;0.2818470794652013
None;90;2;0.000173563924473;0.2818470794652013
None;90;3;0.00435000373283;0.277998258780328
None;60;3;0.00438821222903;0.277998258780328
sqrt;50;4;0.000848661266315;0.2748328859492392
log2;40;3;0.059666848043;0.2742873127214041
log2;100;3;0.000347267994354;0.2742873127214041
sqrt;90;4;0.00333268425454;0.27207596467280404
sqrt;20;1;0.00296330669987;0.2707060271149047
sqrt;90;4;0.00242638504171;0.26724685883295396
None;None;4;0.00332191533019;0.2666642951452411
None;70;4;0.000547388666713;0.2666642951452411
None;60;4;0.000104915316304;0.2666642951452411
None;90;4;0.00248706818277;0.2666642951452411
None;80;3;0.000184193624059;0.2666642951452411
None;70;3;0.00221963839742;0.2666642951452411
None;60;4;0.000759910672045;0.2666642951452411
None;30;2;0.000161841067338;0.2666642951452411
None;70;4;0.001319052409;0.2666642951452411
None;80;3;0.00122084684243;0.2666642951452411
log2;70;3;0.00275416936196;0.2666642951452411
None;70;4;0.000736984525479;0.2666642951452411
None;30;1;0.000399859764951;0.259115481874523
log2;90;1;0.000130997550161;0.259115481874523
sqrt;10;5;0.00371379006352;0.2590240772109848
log2;30;5;0.0355340085705;0.2555491717728822
sqrt;80;3;0.000152011953904;0.2548504858176444
log2;10;1;0.000142032570813;0.2545003498708753
sqrt;None;1;0.000409575772921;0.2545003498708753
log2;90;5;0.000116493534607;0.2508521349641897
log2;50;4;0.000491554161777;0.2508521349641897
log2;None;4;0.000712874205473;0.24879125662626325
None;20;1;0.00529410945653;0.24879125662626325
None;40;5;0.000994306007934;0.2470168335343075
None;50;5;0.00237692446985;0.2470168335343075
None;80;4;0.00342571690305;0.2470168335343075
None;20;5;0.0002685046362;0.2470168335343075
None;30;5;0.0010331685757;0.2470168335343075
sqrt;80;1;0.00042211735306;0.2470168335343075
None;100;5;0.000206625096357;0.2470168335343075
None;10;5;0.000311757667889;0.2470168335343075
sqrt;60;1;0.00236693633164;0.2470168335343075
None;80;5;0.00022340846203;0.2470168335343075
None;60;5;0.00183165052208;0.2470168335343075
None;10;5;0.00131040088509;0.2470168335343075
None;10;5;0.00232225775336;0.2470168335343075
None;30;5;0.00244240292019;0.2470168335343075
log2;70;3;0.0131102199405;0.24333354892923403
sqrt;30;2;0.000435219649123;0.24333354892923403
sqrt;30;1;0.000108881041085;0.24333354892923403
sqrt;90;1;0.00133492833998;0.24248711730123818
sqrt;40;2;0.000463446861416;0.24248539483711112
sqrt;30;3;0.000157605395696;0.2394862446765282
sqrt;80;1;0.00500360499467;0.2383182330270638
sqrt;20;1;0.000393157387479;0.23658218328403519
log2;50;2;0.0236239263538;0.23658218328403519
log2;100;2;0.0215813974428;0.23376815741093615
log2;40;5;0.0394359032642;0.23310008476543645
None;70;3;0.00884267358981;0.23310008476543645
None;100;3;0.00870530630062;0.23310008476543645
sqrt;90;5;0.0623200153194;0.23103948319678833
sqrt;None;2;0.0764662713251;0.23103948319678833
sqrt;100;1;0.0161187276514;0.22993327285456513
None;20;1;0.0126945948361;0.22993327285456513
sqrt;70;5;0.0741941879134;0.22993327285456513
sqrt;70;1;0.0124905976927;0.22993327285456513
None;10;1;0.012584563077;0.22993327285456513
log2;80;2;0.0103677454468;0.2283918121220795
log2;70;2;0.00179763395135;0.2268764861376218
log2;10;2;0.0986373581221;0.22582110072159453
sqrt;100;3;0.0476244608037;0.22582110072159453
sqrt;10;1;0.0667050532121;0.22582110072159453
log2;10;1;0.000886203771643;0.22512336815872577
None;None;1;0.0100164365706;0.22392333071820555
log2;10;5;0.0593694517216;0.22392333071820555
None;70;1;0.010228720198;0.22392333071820555
log2;20;3;0.059961225372;0.22392333071820555
None;30;1;0.0170783307598;0.22336788228108806
log2;40;2;0.0266942225011;0.22332358357707724
sqrt;40;2;0.0184910451852;0.22106792282355142
sqrt;60;1;0.0386762452138;0.22106792282355142
sqrt;70;3;0.000465687783049;0.22106792282355142
log2;10;1;0.0120598142907;0.22106792282355142
log2;60;2;0.0886014709442;0.220895749177539
None;70;1;0.0863878668261;0.220895749177539
None;None;2;0.0883256917748;0.220895749177539
log2;10;2;0.00721488569496;0.22000280271322697
sqrt;90;2;0.0488678217124;0.2162362245652519
sqrt;60;2;0.0029263102687;0.21593426216649184
