Max features;Max depth;Min samples leaf;Min samples split;MCC
log2;50;1;0.000212615303778;0.2482761455716839
log2;80;4;0.00246518812978;0.24724159171804638
log2;50;2;0.00851999509884;0.24724159171804638
None;80;1;0.00852496313807;0.24582977549346607
None;None;4;0.00658520883026;0.24582977549346607
None;100;4;0.00755717706681;0.24582977549346607
None;40;4;0.00732217203175;0.24582977549346607
log2;None;4;0.000100730360849;0.2442623024674021
None;20;5;0.00476367919569;0.24364078947667278
None;80;5;0.00426914343526;0.24364078947667278
None;10;5;0.00467742073272;0.24364078947667278
sqrt;30;4;0.00585955584019;0.24362846244288175
log2;None;1;0.000328804373781;0.24231571333552634
None;90;1;0.00015554826822;0.24150043093489043
sqrt;None;2;0.00194773319607;0.24040751630847776
sqrt;50;4;0.000507117432377;0.24040751630847776
sqrt;10;3;0.0206853533902;0.23844755996023234
None;70;1;0.0142197796191;0.23844755996023234
sqrt;60;3;0.00124637611055;0.23735835298252822
sqrt;30;4;0.000677326948572;0.23678044410911964
sqrt;None;1;0.00835843339775;0.23490066549713973
log2;30;4;0.000317795142801;0.2335307243282474
log2;100;5;0.00663676385055;0.2331337116492666
log2;80;1;0.00143868113373;0.2331337116492666
sqrt;90;5;0.000758303033049;0.23194649029632097
log2;70;1;0.0233779623052;0.2313992627804861
log2;40;4;0.000143395269247;0.2313992627804861
None;None;4;0.000110574262925;0.23026426871570763
None;40;4;0.00192267976051;0.23026426871570763
None;60;4;0.00143994755915;0.23026426871570763
None;60;4;0.000833817233251;0.23026426871570763
sqrt;80;1;0.00111926075414;0.22969629578686465
sqrt;30;2;0.0261789213458;0.228855441983575
None;100;1;0.00456895980648;0.22819515208529828
None;40;4;0.00281055123649;0.22819515208529828
log2;90;2;0.010860184997;0.2277366884839719
sqrt;40;1;0.011971342555;0.2277366884839719
sqrt;None;4;0.00135766968382;0.2277366884839719
None;30;3;0.0153469126629;0.2263809361593257
None;80;4;0.000406053642455;0.22617186791291902
None;20;4;0.000336527976151;0.22617186791291902
sqrt;40;2;0.00334989400776;0.22617186791291902
log2;80;3;0.00109546593971;0.2259266101917563
log2;20;4;0.043630626819;0.2247667111730386
sqrt;30;3;0.0558912237509;0.22440180921866984
sqrt;90;3;0.000875648515934;0.22415162232938646
log2;20;2;0.0610538945243;0.22296340816780605
None;40;2;0.0645044415376;0.2224105614632021
None;20;5;0.055938951697;0.2224105614632021
log2;20;3;0.00107811343423;0.22082235128526825
sqrt;100;1;0.000620668319151;0.22036017163901747
sqrt;50;1;0.000873468871823;0.22008765522876178
sqrt;10;3;0.000466237927069;0.21902583158048683
None;80;5;0.00327676444183;0.2187333175499032
None;80;5;0.00371747059848;0.2187333175499032
sqrt;100;5;0.000100359284591;0.2187333175499032
None;50;5;0.000193455537914;0.2187333175499032
None;20;5;0.000129868992298;0.2187333175499032
None;10;2;0.00535183416087;0.2187333175499032
None;10;5;0.000145479414667;0.2187333175499032
None;70;5;0.00220119048433;0.2187333175499032
log2;90;3;0.0173145495536;0.21850380680734538
sqrt;10;2;0.00481100372063;0.21850380680734538
None;100;5;0.0143510138655;0.2173800911156843
None;90;4;0.0140749854256;0.2173800911156843
log2;10;3;0.0270690222393;0.2173800911156843
log2;60;5;0.000197773058295;0.21709681890475033
sqrt;20;1;0.000324526222831;0.21668547788217848
sqrt;10;5;0.000215020202204;0.21576412913084753
log2;30;5;0.00285418877729;0.2154300317656259
sqrt;20;3;0.000792165471646;0.21490385265160858
None;80;4;0.0147298823043;0.21417702071755337
log2;20;2;0.000102292228083;0.21315766363241745
sqrt;60;1;0.0212986297245;0.2126178808886447
sqrt;60;3;0.00024975958761;0.2126178808886447
sqrt;70;5;0.00414199640098;0.21108586238584487
None;30;2;0.0763506637889;0.20976682426601972
None;30;5;0.0777843345742;0.20976682426601972
log2;20;1;0.0910024281839;0.20976682426601972
sqrt;80;2;0.00142487562648;0.20976682426601972
sqrt;40;4;0.0821693553214;0.20958015363287544
sqrt;10;3;0.00235292834056;0.20958015363287544
log2;80;5;0.000265808483902;0.20715359429564523
log2;30;4;0.0241469683616;0.20650396991330652
sqrt;30;5;0.00966791746948;0.20650396991330652
sqrt;100;5;0.000713440110895;0.2036176374251761
None;10;2;0.0157538818285;0.20183196247483043
log2;20;2;0.00292018131278;0.20100447589342738
sqrt;90;4;0.0774011273863;0.2002246277437118
sqrt;60;4;0.00177817062806;0.19857863878086301
log2;10;2;0.00010416999143;0.19740501359865115
log2;100;4;0.0158230893669;0.19730387730254934
sqrt;100;4;0.003287464648;0.19538202620265296
sqrt;60;4;0.0101821940183;0.1908100714429273
log2;70;1;0.00111796556309;0.1908100714429273
sqrt;40;2;0.00026950005897;0.1905138405965321
None;70;2;0.0240443629189;0.1903740243943643
sqrt;None;5;0.000159424847418;0.18934174778608073
log2;10;2;0.0165960686572;0.18873146804300683
sqrt;None;3;0.0860902628746;0.1871051444692891
sqrt;70;5;0.000101836831204;0.18531619233389726
log2;100;2;0.0020622740198;0.18531619233389726
sqrt;70;2;0.000195394048196;0.18509177034728264
log2;70;2;0.000132192128739;0.18399961392930855
log2;80;5;0.000802788950276;0.18399961392930855
log2;60;4;0.000135750351118;0.1835677483824323
sqrt;20;5;0.000939928466291;0.1809972281392862
sqrt;60;1;0.0369365156269;0.1797584479303049
sqrt;50;3;0.000173024319178;0.1769488356087622
None;90;1;0.0335816048609;0.17670219137414753
None;None;1;0.028184489769;0.17473604430601516
