Learning rate;Beta;Gamma;Dense sizes;MCC
0.627300647808;0.0569462885937;10;[17, 8];0.3728871087548826
0.0269986418372;0.223230965596;9;[22, 11, 6];0.3715892699973146
0.137281406109;0.0435765429554;6;[55, 36, 15];0.3703538297155335
0.569539148868;0.094021350862;5;[40];0.3701177564410216
0.868714476604;0.00866660935859;4;[91, 5];0.3682584537630086
0.622390179021;0.0356763289293;8;[25, 10];0.36822129778090396
0.152521545329;0.0223762640478;2;[83];0.36764851351031763
0.0753367823416;0.0776561608279;2;[59, 58, 55];0.36681959331699915
0.320243530063;0.0581520067008;7;[69, 37, 34];0.3663898549290931
0.0989975700157;0.0995368311947;4;[7];0.36569635155173924
0.0508677612088;0.144208998932;3;[45];0.3646925446541561
0.585434219047;0.00423566114621;3;[29];0.36430972414604357
0.171124321974;0.139890926273;3;[100];0.363814061438311
0.427665808279;0.747709236708;10;[17];0.36377123913443404
0.408241288692;0.0253190077514;9;[9];0.36330319959995083
0.0211507119806;0.140062018697;8;[94, 42, 13];0.36268579562438913
0.0906079832225;0.0110716671519;9;[98];0.3612531752641454
0.858034305057;0.0123610155983;7;[35, 35];0.35999964013413605
0.0445782162459;0.010313868531;3;[81];0.3561688858647542
0.702591381596;0.0116552642397;4;[73];0.35577150919595246
0.0221123143606;0.0845315776162;6;[49, 28, 27];0.3545298751260633
0.151990750636;0.00600971952844;6;[88];0.3517602512162941
0.663032670602;0.389611149764;7;[54];0.3490274217914055
0.00422964653474;0.0936875158664;8;[95, 26, 12];0.3472339249942968
0.633259669911;0.0253547054862;2;[74, 33, 25];0.34558160601409643
0.153149323247;0.0114128057545;3;[57, 26, 4];0.34441634670785587
0.106784307054;0.0110078139617;10;[81];0.3421501639495494
0.122124994516;0.00492336374109;2;[92];0.34094295482630044
0.0397496598676;0.253595158757;3;[17];0.3409422987784551
0.00997109802002;0.449962221778;7;[36, 18];0.34053160540707417
0.0127648936116;0.0797775137945;4;[78];0.33944656149365793
0.200279650302;0.00987723502182;3;[35];0.3375931618646995
0.0244195556384;0.0397183306019;5;[48, 42];0.3367438792782274
0.14563905881;0.0114820504394;5;[55, 20];0.3345967388360386
0.152165682942;0.00580392374901;1;[97, 10, 6];0.3343892394490855
0.00669267266017;0.0164650767741;7;[91];0.33343898574715325
0.0296744933071;0.00382386831733;3;[76, 52, 28];0.3333839577034656
0.104151132342;0.0388362648648;10;[94, 6, 4];0.33233765191478265
0.00409041782699;0.370400415254;8;[100, 76, 61];0.33149619108787
0.0140585222597;0.0387950223716;6;[95];0.331465716104623
0.0608691653342;0.041997126305;8;[70, 21, 8];0.32978986244485303
0.0155763533658;0.0745762547101;10;[36, 10, 10];0.32955859965768763
0.0238868233256;0.00434148895028;3;[54, 19, 15];0.3289200266606622
0.973853168822;0.00889799851353;3;[4, 4, 4];0.3289124848778828
0.00789116958438;0.844485835067;9;[46, 5];0.32886827853073547
0.0039789532214;0.00319411426341;7;[48, 45, 44];0.3273761980535437
0.0046803042554;0.0105346855547;5;[75, 69];0.32708877368595274
0.150788036667;0.135449659601;1;[78, 4];0.3216366508685206
0.0518001554868;0.00553623996933;8;[47];0.3206522332759914
0.082558730804;0.0043697615764;3;[35];0.32040352204204864
0.0139266944271;0.287398510173;9;[14, 8, 6];0.3202302678591828
0.79640886823;0.0240370783196;5;[22, 17, 5];0.3194718497265743
0.00898075700276;0.0229361366929;10;[85, 83];0.3187365081106432
0.0104980362171;0.0889425874157;7;[92];0.31868462019106375
0.0202719763853;0.00411028409911;5;[31, 7];0.3162769300134105
